source,target,value
CT1,CT10,110848
CT1,CT12,62877
CT1,CT17,69282
CT1,CT6,56717
CT2,CT14,114913
CT2,CT7,65574
CT2,CT8,125105
CT2,CT11,163996
CT3,CT12,50467
CT3,CT16,68957
CT3,CT15,43598
CT3,CT4,157223
CT15,CT12,70717
CT16,CT17,79560
CT16,CT12,82996
CT16,CT9,103704
CT16,CT4,110133
CT7,CT14,95957
CT7,CT13,111686
CT8,CT14,207558
CT13,CT10,63448
CT13,CT11,121584
CT13,CT14,89813
CT11,CT5,62655
CT11,CT10,142470
CT5,CT10,125041
CT5,CT9,90186
CT5,CT6,100563
CT5,CT17,111134
CT9,CT17,62879
CT9,CT4,162527
CT17,CT6,73828
CT6,CT10,67584
